ain3[N],ain4[N],ain5[N]
0.000,1.435,1.362
0.000,1.460,1.292
0.000,1.460,1.292
0.000,1.460,1.315
0.000,1.460,1.315
0.000,1.292,1.315
0.000,1.292,1.315
0.000,1.205,1.292
0.000,1.205,1.292
0.000,1.292,1.292
0.000,1.292,1.292
0.000,1.270,1.386
0.000,1.270,1.386
0.000,1.386,1.680
0.000,1.386,1.680
0.688,2.840,2.941
0.688,2.840,2.941
0.700,5.619,4.322
0.700,9.335,6.133
0.700,9.335,6.133
0.713,11.926,8.404
0.713,11.926,8.404
0.713,16.058,9.838
0.713,16.058,9.838
0.725,16.924,11.120
0.725,16.924,11.120
0.725,16.924,11.120
0.713,19.811,10.737
0.713,19.811,10.737
0.713,19.467,10.011
0.713,19.467,10.011
0.700,13.961,6.933
0.700,4.972,2.557
0.700,4.972,2.557
0.000,1.566,1.315
0.000,1.566,1.315
0.000,1.270,1.163
0.000,1.270,1.163
0.000,1.315,1.226
0.000,1.315,1.226
0.000,1.315,1.226
0.000,1.292,1.270
0.000,1.292,1.270
0.000,1.315,1.270
0.000,1.315,1.270
0.000,1.315,1.270
0.000,1.315,1.270
0.000,1.315,1.292
0.000,1.315,1.292
0.000,1.315,1.292
0.000,1.338,1.270
0.000,1.338,1.270
0.000,1.338,1.292
0.000,1.338,1.292
0.000,1.362,1.292
0.000,1.362,1.292
0.000,1.362,1.292
0.000,1.338,1.292
0.000,1.338,1.292
0.000,1.338,1.315
0.000,1.338,1.315
0.000,1.362,1.315
0.000,1.386,1.315
0.000,1.386,1.315
0.000,1.362,1.315
0.000,1.362,1.315
0.000,1.386,1.315
0.000,1.386,1.315
0.000,1.362,1.315
0.000,1.362,1.315
0.000,1.386,1.315
0.000,1.386,1.315
0.000,1.362,1.292
0.000,1.362,1.292
0.000,1.386,1.292
0.000,1.386,1.292
0.000,1.386,1.292
0.000,1.410,1.292
0.000,1.410,1.292
0.000,1.386,1.315
0.000,1.386,1.315
0.000,1.386,1.338
0.000,1.386,1.338
0.000,1.386,1.315
0.000,1.386,1.315
0.000,1.410,1.315
0.000,1.410,1.315
0.000,1.410,1.315
0.000,1.410,1.315
0.000,1.410,1.315
0.000,1.410,1.338
0.000,1.460,1.362
0.000,1.460,1.362
0.000,1.460,1.362
0.000,1.460,1.362
0.000,1.460,1.362
0.000,1.460,1.362
0.000,1.460,1.362
0.000,1.460,1.362
0.000,1.460,1.362
0.000,1.460,1.362
0.000,1.486,1.386
0.000,1.460,1.386
0.000,1.460,1.386
0.000,1.486,1.362
0.000,1.486,1.362
0.000,1.486,1.362
0.000,1.486,1.362
0.000,1.486,1.362
0.000,1.486,1.386
0.000,1.486,1.386
0.000,1.486,1.386
0.000,1.486,1.386
0.000,1.486,1.386
0.000,1.486,1.386
0.000,1.486,1.386
0.000,1.486,1.386
0.000,1.486,1.362
0.000,1.486,1.386
0.000,1.486,1.386
0.000,1.486,1.362
0.000,1.486,1.362
0.000,1.486,1.362
0.000,1.486,1.362
0.000,1.486,1.386
0.000,1.486,1.386
0.000,1.460,1.362
0.000,1.460,1.386
0.000,1.460,1.386
0.000,1.460,1.386
0.000,1.460,1.386
0.000,1.386,1.386
0.000,1.386,1.386
0.000,1.512,1.362
0.000,1.512,1.362
0.000,1.512,1.362
0.000,1.512,1.362
0.000,1.410,1.362
0.000,1.410,1.362
0.000,1.362,1.362
0.000,1.362,1.362
0.000,1.362,1.362
0.000,1.362,1.566
0.000,1.362,1.566
0.000,1.362,1.802
0.688,1.410,1.539
0.688,1.410,1.539
0.000,1.362,1.460
0.000,1.362,1.460
0.000,1.362,1.435
0.000,1.362,1.435
0.000,1.435,1.386
0.000,1.435,1.386
0.000,1.435,1.362
0.000,1.435,1.362
0.000,1.435,1.362
0.000,1.594,1.386
0.000,1.594,1.386
0.000,1.770,1.512
0.000,1.770,1.512
0.000,1.680,1.802
0.000,1.680,1.802
0.688,1.710,2.072
0.000,1.834,2.146
0.000,1.834,2.146
0.688,2.109,2.072
0.688,2.109,2.072
0.688,2.557,1.899
0.688,2.557,1.899
0.000,2.941,2.184
0.688,3.503,2.602
0.688,3.503,2.602
0.688,4.247,3.210
0.688,4.247,3.210
0.688,5.332,3.565
0.688,5.332,3.565
0.700,6.352,3.824
0.700,6.352,3.824
0.700,7.306,3.960
0.700,7.306,3.960
0.700,7.974,4.030
0.700,8.115,4.173
0.700,8.115,4.173
0.700,8.404,4.030
0.700,8.404,4.030
0.700,8.258,4.173
0.700,8.258,4.173
0.700,8.404,4.173
0.700,8.404,4.173
0.700,9.014,4.101
0.700,7.836,4.101
0.700,7.836,4.101
0.700,3.503,2.890
0.700,3.503,2.890
0.000,1.740,1.802
0.000,1.740,1.802
0.000,1.184,1.143
0.000,1.184,1.143
0.000,1.163,1.205
0.000,1.163,1.205
0.000,1.205,1.184
0.000,1.205,1.184
0.000,1.226,1.205
0.000,1.270,1.226
0.000,1.270,1.226
0.000,1.270,1.226
0.000,1.270,1.226
0.000,1.292,1.226
0.000,1.292,1.226
0.000,1.292,1.226
0.000,1.270,1.270
0.000,1.270,1.270
0.000,1.292,1.248
0.000,1.292,1.248
0.000,1.315,1.270
0.000,1.315,1.270
0.000,1.315,1.270
0.000,1.315,1.270
0.000,1.362,1.270
0.000,1.362,1.270
0.000,1.338,1.270
0.000,1.338,1.270
0.000,1.386,1.270
0.000,1.386,1.270
0.000,1.386,1.292
0.000,1.386,1.292
0.000,1.386,1.292
0.000,1.386,1.292
0.000,1.386,1.292
0.000,1.386,1.292
0.000,1.386,1.292
0.000,1.386,1.292
0.000,1.362,1.315
0.000,1.362,1.315
0.000,1.362,1.315
0.000,1.386,1.315
0.000,1.386,1.315
0.000,1.386,1.315
0.700,1.386,1.315
0.700,1.386,1.315
0.000,1.386,1.315
0.000,1.386,1.315
0.000,1.386,1.315
0.000,1.386,1.315
0.000,1.386,1.315
0.000,1.386,1.315
0.000,1.410,1.315
0.000,1.410,1.315
0.000,1.386,1.315
0.000,1.386,1.315
0.000,1.410,1.338
0.000,1.410,1.338
0.000,1.386,1.338
0.000,1.386,1.338
0.000,1.386,1.338
0.000,1.386,1.338
0.000,1.386,1.338
0.000,1.386,1.338
0.000,1.386,1.315
0.000,1.386,1.315
0.000,1.386,1.315
0.000,1.386,1.315
0.000,1.386,1.315
0.000,1.410,1.315
0.000,1.410,1.315
0.000,1.410,1.338
0.000,1.410,1.338
0.000,1.410,1.338
0.000,1.435,1.362
0.000,1.435,1.362
0.000,1.435,1.362
0.000,1.410,1.362
0.000,1.410,1.362
0.000,1.410,1.362
0.000,1.410,1.362
0.000,1.410,1.362
0.000,1.460,1.460
0.000,1.460,1.460
0.000,1.460,1.460
0.000,1.435,1.460
0.000,1.460,1.460
0.000,1.460,1.460
0.000,1.460,1.460
0.000,1.460,1.486
0.000,1.460,1.460
0.000,1.435,1.486
0.000,1.435,1.460
0.000,1.435,1.460
0.000,1.435,1.486
0.000,1.435,1.460
0.000,1.410,1.486
0.000,1.410,1.486
0.000,1.410,1.486
0.000,1.410,1.486
0.000,1.410,1.486
0.000,1.435,1.512
0.000,1.435,1.486
0.000,1.435,1.486
0.000,1.435,1.486
0.000,1.435,1.486
0.000,1.435,1.486
0.000,1.435,1.486
0.000,1.435,1.486
0.000,1.435,1.486
0.000,1.435,1.486
0.000,1.435,1.486
0.000,1.435,1.486
0.000,1.460,1.486
0.000,1.460,1.486
0.000,1.460,1.486
0.000,1.460,1.486
0.000,1.460,1.486
0.000,1.680,1.386
0.000,1.680,1.386
0.000,1.740,1.362
0.000,1.932,1.386
0.000,1.932,1.386
0.700,3.891,2.469
0.700,3.891,2.469
0.700,7.055,4.476
0.700,9.838,5.149
0.700,9.838,5.149
0.713,12.137,5.522
0.713,14.713,5.922
0.713,14.713,5.922
0.713,16.058,5.719
0.700,15.506,4.885
0.700,15.506,4.885
0.713,13.480,4.101
0.713,7.567,3.503
0.713,7.567,3.503
0.688,2.840,1.710
0.000,1.315,1.226
0.000,1.270,1.248
0.000,1.163,1.226
0.000,1.163,1.226
0.000,1.226,1.205
0.000,1.226,1.205
0.000,1.226,1.226
0.000,1.226,1.226
0.000,1.226,1.205
0.000,1.226,1.205
0.000,1.248,1.226
0.000,1.226,1.205
0.000,1.226,1.205
0.000,1.248,1.248
0.000,1.248,1.248
0.000,1.248,1.226
0.000,1.248,1.226
0.000,1.270,1.248
0.000,1.248,1.248
0.000,1.248,1.248
0.000,1.270,1.248
0.000,1.248,1.270
0.000,1.270,1.270
0.000,1.270,1.270
0.000,1.248,1.270
0.000,1.248,1.270
0.000,1.270,1.270
0.000,1.248,1.270
0.000,1.248,1.270
0.000,1.226,1.292
0.000,1.226,1.292
0.000,1.270,1.292
0.000,1.315,1.292
0.000,1.315,1.292
0.000,1.292,1.292
0.000,1.292,1.292
0.000,1.292,1.292
0.000,1.315,1.292
0.000,1.315,1.292
0.000,1.315,1.292
0.000,1.315,1.315
0.000,1.315,1.315
0.000,1.315,1.315
0.000,1.315,1.315
0.688,2.146,2.037
0.688,2.146,2.037
0.688,2.146,2.037
0.688,2.146,2.037
0.688,2.146,2.037
0.000,2.146,2.037
0.688,2.146,2.037
0.688,2.146,2.037
0.688,2.146,2.037
0.000,2.146,2.037
0.688,2.146,2.037
0.688,2.146,2.037
0.688,2.146,2.037
0.000,2.146,2.037
0.688,2.184,2.037
0.688,2.146,2.037
0.688,2.146,2.037
0.688,2.146,2.037
0.688,2.146,2.037
0.688,2.146,2.037
0.000,2.146,2.037
0.688,2.146,2.037
0.688,2.146,2.037
0.688,2.146,2.037
0.688,2.146,2.037
0.688,2.146,2.037
0.688,2.037,1.932
0.688,2.557,1.770
0.688,4.885,2.184
0.700,6.812,3.154
0.713,16.924,4.322
0.713,21.247,4.322
0.713,18.151,2.037
0.700,7.567,2.302
0.000,1.143,1.362
0.000,1.205,1.338
0.000,1.292,1.362
0.000,1.292,1.362
0.000,1.315,1.386
0.000,1.315,1.386
0.000,1.315,1.460
0.000,1.315,1.460
0.000,1.315,1.460
0.000,1.386,1.460
0.000,1.386,1.460
0.000,1.410,1.486
0.000,1.460,1.486
0.000,1.460,1.512
0.000,1.486,1.460
0.000,1.512,1.460
0.000,1.512,1.460
0.000,1.486,1.486
0.000,1.512,1.486
0.000,1.539,1.512
0.000,1.539,1.512
0.000,1.512,1.512
0.000,1.566,1.486
0.000,1.539,1.512
0.000,1.539,1.512
0.000,1.539,1.512
0.000,1.539,1.512
0.000,1.539,1.486
0.000,1.539,1.486
0.000,1.539,1.512
0.000,1.512,1.539
0.000,1.512,1.539
0.000,1.539,1.512
0.000,1.566,1.539
0.000,1.566,1.539
0.000,1.566,1.539
0.000,1.594,1.512
0.000,1.594,1.512
0.000,1.594,1.539
0.000,1.594,1.539
0.000,1.594,1.539
0.000,1.594,1.539
0.000,1.594,1.539
0.000,1.594,1.539
0.000,1.622,1.539
0.000,1.622,1.539
0.000,1.594,1.539
0.000,1.594,1.539
0.000,2.037,1.486
0.000,2.072,1.486
0.000,2.072,1.512
0.000,2.072,1.486
0.688,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.072,1.486
0.688,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.072,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.688,2.037,1.486
0.688,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.072,1.512
0.000,2.072,1.512
0.000,2.072,1.512
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.072,1.486
0.000,2.072,1.486
0.000,2.037,1.512
0.000,2.037,1.512
0.000,2.037,1.512
0.000,2.072,1.486
0.000,2.072,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.072,1.512
0.000,2.072,1.512
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.072,1.486
0.000,2.072,1.486
0.000,2.072,1.486
0.000,2.072,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.688,2.037,1.486
0.688,2.037,1.486
0.688,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.072,1.512
0.000,2.072,1.512
0.000,2.037,1.486
0.000,2.037,1.486
0.688,2.037,1.486
0.688,2.037,1.486
0.688,2.037,1.486
0.688,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.000,2.037,1.486
0.688,2.037,1.512
0.688,2.037,1.512
0.000,2.001,1.486
0.000,2.001,1.486
0.000,1.866,1.486
0.000,1.866,1.486
0.000,1.866,1.460
0.000,1.866,1.460
0.000,1.932,1.460
0.000,1.932,1.460
0.688,2.384,1.651
0.688,2.384,1.651
0.688,2.840,1.834
0.688,2.840,1.834
0.688,2.840,1.834
0.700,3.824,2.184
0.700,5.332,2.648
0.700,5.332,2.648
0.700,5.332,2.648
0.700,7.306,3.267
0.700,7.306,3.267
0.700,8.857,3.692
0.700,8.857,3.692
0.713,11.719,4.247
0.713,11.719,4.247
0.713,13.961,4.555
0.713,13.961,4.555
0.713,16.058,4.885
0.713,16.058,4.885
0.700,17.223,5.149
0.700,17.223,5.149
0.713,16.924,4.972
0.713,16.924,4.972
0.713,17.527,4.555
0.713,17.527,4.555
0.713,17.836,4.322
0.713,17.836,4.322
0.713,18.151,4.101
0.713,18.151,4.101
0.713,17.836,3.891
0.713,17.836,3.891
0.713,15.780,3.692
0.713,15.780,3.692
0.713,12.791,3.503
0.713,12.791,3.503
0.700,7.567,2.648
0.700,7.567,2.648
0.700,4.322,2.343
0.700,4.322,2.343
0.688,2.384,1.802
0.688,2.384,1.802
0.000,1.710,1.315
0.000,1.710,1.315
0.000,1.270,1.184
0.000,1.270,1.184
0.000,1.270,1.184
0.000,1.270,1.184
0.000,1.292,1.205
0.000,1.292,1.205
0.000,1.270,1.205
0.000,1.270,1.205
0.000,1.292,1.226
0.000,1.292,1.226
0.000,1.315,1.248
0.000,1.315,1.248
0.000,1.315,1.248
0.000,1.315,1.248
0.000,1.315,1.270
0.000,1.315,1.270
0.000,1.315,1.270
0.000,1.315,1.270
0.000,1.315,1.270
0.000,1.315,1.270
0.000,1.315,1.270
0.000,1.315,1.270
0.000,1.315,1.270
0.000,1.315,1.292
0.000,1.338,1.292
0.000,1.338,1.292
0.000,1.362,1.315
0.000,1.362,1.315
0.000,1.386,1.292
0.000,1.386,1.292
0.000,1.386,1.292
0.000,1.386,1.292
0.000,1.386,1.315
0.000,1.386,1.315
0.000,1.410,1.315
0.000,1.410,1.315
0.000,1.435,1.315
0.000,1.435,1.315
0.000,1.460,1.315
0.000,1.460,1.315
0.000,1.435,1.315
0.000,1.435,1.315
0.000,1.460,1.315
0.000,1.460,1.315
0.000,1.460,1.315
0.000,1.460,1.315
0.000,1.460,1.315
0.000,1.460,1.315
0.000,1.486,1.338
0.000,1.486,1.338
0.000,1.512,1.315
0.000,1.512,1.315
0.000,1.512,1.315
0.000,1.512,1.315
0.000,1.512,1.315
0.000,1.512,1.292
0.000,1.512,1.292
0.000,1.512,1.315
0.000,1.512,1.315
0.000,1.512,1.315
0.000,1.539,1.315
0.000,1.539,1.315
0.000,1.539,1.315
0.000,1.512,1.315
0.000,1.512,1.315
0.000,1.512,1.315
0.000,1.512,1.338
0.000,1.512,1.338
0.000,1.512,1.338
0.000,1.539,1.362
0.000,1.539,1.362
0.000,1.539,1.362
0.000,1.539,1.338
